,time,KWH
0,2006/1/2 0:59,0
1,2006/1/2 1:59,0
2,2006/1/2 2:59,0
3,2006/1/2 3:59,91.75
4,2006/1/2 4:59,68.5
5,2006/1/2 5:59,88.75
6,2006/1/2 6:59,2794.5
7,2006/1/2 7:59,3865
8,2006/1/2 8:59,3795
9,2006/1/2 9:59,3720
10,2006/1/2 10:59,3635
11,2006/1/2 11:59,2795
12,2006/1/2 12:59,2687.5
13,2006/1/2 13:59,3552.5
14,2006/1/2 14:59,3930
15,2006/1/2 15:59,3807.5
16,2006/1/2 16:59,3787.5
17,2006/1/2 17:59,3705
18,2006/1/2 18:59,3682.5
19,2006/1/2 19:59,3640
20,2006/1/2 20:59,3450
21,2006/1/2 21:59,3542.5
22,2006/1/2 22:59,3805
23,2006/1/2 23:59,3747.5
24,2006/1/3 0:59,2807.5
25,2006/1/3 1:59,3732.5
26,2006/1/3 2:59,3632.5
27,2006/1/3 3:59,3547.5
28,2006/1/3 4:59,3415
29,2006/1/3 5:59,3480
30,2006/1/3 6:59,3742.5
31,2006/1/3 7:59,3802.5
32,2006/1/3 8:59,3862.5
33,2006/1/3 9:59,3735
34,2006/1/3 10:59,3592.5
35,2006/1/3 11:59,3822.5
36,2006/1/3 12:59,3690
37,2006/1/3 13:59,3710
38,2006/1/3 14:59,3967.5
39,2006/1/3 15:59,3905
40,2006/1/3 16:59,3897.5
41,2006/1/3 17:59,3777.5
42,2006/1/3 18:59,3762.5
43,2006/1/3 19:59,3730
44,2006/1/3 20:59,3580
45,2006/1/3 21:59,3677.5
46,2006/1/3 22:59,3915
47,2006/1/3 23:59,3822.5
48,2006/1/4 0:59,3767.5
49,2006/1/4 1:59,3715
50,2006/1/4 2:59,3647.5
51,2006/1/4 3:59,3565
52,2006/1/4 4:59,3457.5
53,2006/1/4 5:59,3455
54,2006/1/4 6:59,3742.5
55,2006/1/4 7:59,3812.5
56,2006/1/4 8:59,3837.5
57,2006/1/4 9:59,3722.5
58,2006/1/4 10:59,3572.5
59,2006/1/4 11:59,3860
60,2006/1/4 12:59,3660
61,2006/1/4 13:59,3637.5
62,2006/1/4 14:59,3942.5
63,2006/1/4 15:59,3895
64,2006/1/4 16:59,3935
65,2006/1/4 17:59,3845
66,2006/1/4 18:59,3842.5
67,2006/1/4 19:59,3765
68,2006/1/4 20:59,3605
69,2006/1/4 21:59,3702.5
70,2006/1/4 22:59,3897.5
71,2006/1/4 23:59,3820
72,2006/1/5 0:59,3745
73,2006/1/5 1:59,3680
74,2006/1/5 2:59,3612.5
75,2006/1/5 3:59,3520
76,2006/1/5 4:59,3455
77,2006/1/5 5:59,3467.5
78,2006/1/5 6:59,3760
79,2006/1/5 7:59,3810
80,2006/1/5 8:59,3892.5
81,2006/1/5 9:59,3845
